Video,Hybrid Reps,Hybrid FPS,Object Reps,Object FPS,Graph
front_9rep.mp4,8,39.1,4,70.5,experiment_results\experiment_20251219_030250\graph_front_9rep.png
right_9rep.mp4,7,37.6,0,65.4,experiment_results\experiment_20251219_030250\graph_right_9rep.png
noplate_left_10rep.mp4,0,37.4,0,63.7,experiment_results\experiment_20251219_030250\graph_noplate_left_10rep.png
front_10rep_mirror.mp4,10,38.5,0,61.3,experiment_results\experiment_20251219_030250\graph_front_10rep_mirror.png
front_5rep.mp4,0,38.6,0,61.8,experiment_results\experiment_20251219_030250\graph_front_5rep.png
right_5rep.mp4,6,37.3,5,59.1,experiment_results\experiment_20251219_030250\graph_right_5rep.png
