epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3072.72,0.54703,0.30163,0.95084,0.9826,0.99008,0.99387,0.90158,0.5364,0.24909,0.94043,0.0011882,0.0011882,0.0011882
43,3149.19,0.54053,0.3051,0.95031,0.98586,0.98743,0.99447,0.90153,0.53222,0.2424,0.94077,0.0011684,0.0011684,0.0011684
44,3225.86,0.53636,0.29953,0.94933,0.98794,0.98725,0.99423,0.90889,0.51989,0.24189,0.93174,0.0011486,0.0011486,0.0011486
45,3302.72,0.53281,0.29701,0.94567,0.98522,0.99128,0.99458,0.91279,0.49976,0.23107,0.92541,0.0011288,0.0011288,0.0011288
46,3379.06,0.52974,0.29295,0.94215,0.9866,0.99049,0.99463,0.91097,0.50912,0.23837,0.92496,0.001109,0.001109,0.001109
47,3455.44,0.52897,0.2945,0.94257,0.98826,0.98442,0.9943,0.91469,0.49829,0.23704,0.92188,0.0010892,0.0010892,0.0010892
48,3531.97,0.52035,0.29268,0.94054,0.98868,0.98867,0.99424,0.90766,0.51832,0.24038,0.9321,0.0010694,0.0010694,0.0010694
49,3608.88,0.51388,0.28576,0.93688,0.98522,0.99148,0.99415,0.91911,0.48704,0.23127,0.92179,0.0010496,0.0010496,0.0010496
50,3685.91,0.51462,0.28884,0.93862,0.98382,0.99052,0.99414,0.91422,0.50727,0.23619,0.93152,0.0010298,0.0010298,0.0010298
51,3762.26,0.51227,0.28576,0.9352,0.99086,0.98725,0.9945,0.91179,0.51292,0.23395,0.93422,0.00101,0.00101,0.00101
52,3838.7,0.50417,0.2818,0.93323,0.98811,0.98938,0.99389,0.91494,0.492,0.23174,0.92405,0.0009902,0.0009902,0.0009902
53,3915.03,0.49901,0.28415,0.92866,0.98966,0.98796,0.99446,0.91932,0.49005,0.23006,0.91801,0.0009704,0.0009704,0.0009704
54,3992.08,0.49774,0.28179,0.92829,0.98527,0.99461,0.99457,0.91607,0.50096,0.22784,0.92912,0.0009506,0.0009506,0.0009506
55,4068.58,0.48595,0.27565,0.92368,0.99287,0.98513,0.99437,0.91968,0.47891,0.22377,0.9163,0.0009308,0.0009308,0.0009308
56,4145.04,0.48191,0.27171,0.92494,0.988,0.99132,0.99464,0.9237,0.48015,0.21605,0.9174,0.000911,0.000911,0.000911
57,4221.6,0.48156,0.2668,0.92167,0.98594,0.99328,0.99431,0.91999,0.4816,0.21886,0.91871,0.0008912,0.0008912,0.0008912
58,4298.26,0.47375,0.26271,0.91979,0.99023,0.98229,0.9941,0.92581,0.47149,0.2188,0.90858,0.0008714,0.0008714,0.0008714
59,4375.12,0.47659,0.26806,0.91995,0.98388,0.9915,0.9945,0.92748,0.47167,0.22148,0.90992,0.0008516,0.0008516,0.0008516
60,4451.44,0.47392,0.26532,0.91335,0.99078,0.98931,0.99444,0.92545,0.47392,0.21567,0.91134,0.0008318,0.0008318,0.0008318
61,4527.74,0.46871,0.26254,0.91539,0.9908,0.99107,0.99455,0.92831,0.46021,0.21033,0.90769,0.000812,0.000812,0.000812
62,4604.32,0.45725,0.25422,0.90696,0.99006,0.98777,0.99456,0.92913,0.46739,0.21202,0.9099,0.0007922,0.0007922,0.0007922
63,4679.67,0.46003,0.25693,0.91038,0.99218,0.98901,0.99473,0.92854,0.47444,0.21129,0.91205,0.0007724,0.0007724,0.0007724
