Video,Reps,FPS,Graph
front_9rep.mp4,9,37.5,experiment_results/proposed_only\run_20251219_034920\test_front_9rep.png
right_9rep.mp4,7,38.2,experiment_results/proposed_only\run_20251219_034920\test_right_9rep.png
noplate_left_10rep.mp4,6,38.0,experiment_results/proposed_only\run_20251219_034920\test_noplate_left_10rep.png
front_10rep_mirror.mp4,0,39.2,experiment_results/proposed_only\run_20251219_034920\test_front_10rep_mirror.png
front_5rep.mp4,5,40.8,experiment_results/proposed_only\run_20251219_034920\test_front_5rep.png
right_5rep.mp4,3,38.5,experiment_results/proposed_only\run_20251219_034920\test_right_5rep.png
