Rep,Manual Vel,System Vel,Diff Vel,Diff %,Manual Frames,System Frames,Diff Frames
1,0.24,0.204,0.036,15.2,26,28,2
2,0.28,0.253,0.027,9.8,22,24,2
3,0.28,0.248,0.032,11.3,22,26,4
4,0.28,0.245,0.035,12.3,22,24,2
5,0.28,0.24,0.04,14.1,22,24,2
6,0.26,0.224,0.036,13.9,24,27,3
7,0.26,0.208,0.052,20.0,24,28,4
8,0.25,0.201,0.049,19.5,25,27,2
9,0.26,0.174,0.086,33.2,24,30,6
10,0.14,0.138,0.002,1.6,45,52,7
