Rep,Manual Vel,System Vel,Diff Vel,Diff %,Manual Frames,System Frames,Diff Frames
1,0.18,0.177,0.003,1.6,27,28,1
2,0.19,0.21,0.02,10.7,21,23,2
3,0.217,0.212,0.005,2.4,21,24,3
4,0.203,0.216,0.013,6.2,22,22,0
5,0.19,0.186,0.004,2.0,22,26,4
