Video,Reps,FPS,Graph
front_9rep.mp4,9,32.0,experiment_results/proposed_only\run_20251219_032237\test_front_9rep.png
right_9rep.mp4,7,33.8,experiment_results/proposed_only\run_20251219_032237\test_right_9rep.png
noplate_left_10rep.mp4,1,31.2,experiment_results/proposed_only\run_20251219_032237\test_noplate_left_10rep.png
front_10rep_mirror.mp4,10,31.9,experiment_results/proposed_only\run_20251219_032237\test_front_10rep_mirror.png
front_5rep.mp4,0,32.2,experiment_results/proposed_only\run_20251219_032237\test_front_5rep.png
right_5rep.mp4,8,33.3,experiment_results/proposed_only\run_20251219_032237\test_right_5rep.png
