epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3691.77,0.58833,0.31619,0.99676,0.98446,0.98703,0.99366,0.89259,0.54693,0.25966,0.96084,0.0011882,0.0011882,0.0011882
43,3778.64,0.57721,0.31515,0.99189,0.98621,0.98938,0.99412,0.89186,0.54373,0.24811,0.96578,0.0011684,0.0011684,0.0011684
44,3867.33,0.57414,0.31623,0.98992,0.98475,0.99079,0.99385,0.89675,0.53774,0.24967,0.96067,0.0011486,0.0011486,0.0011486
45,3954.6,0.57115,0.31331,0.98923,0.98109,0.99183,0.99434,0.89389,0.53256,0.24753,0.96719,0.0011288,0.0011288,0.0011288
46,4041.39,0.5651,0.30928,0.98357,0.9867,0.99079,0.99427,0.89054,0.53693,0.24769,0.96353,0.001109,0.001109,0.001109
47,4127.78,0.56093,0.30939,0.98245,0.98937,0.9889,0.99449,0.90149,0.52948,0.24665,0.96431,0.0010892,0.0010892,0.0010892
48,4216.57,0.55862,0.30282,0.98611,0.98298,0.98173,0.99388,0.90006,0.53052,0.24837,0.95532,0.0010694,0.0010694,0.0010694
49,4303.19,0.55254,0.29985,0.97507,0.98682,0.98796,0.99441,0.9018,0.51886,0.23295,0.95783,0.0010496,0.0010496,0.0010496
50,4389.79,0.54783,0.3018,0.97745,0.98829,0.98938,0.99414,0.90297,0.52348,0.25102,0.95819,0.0010298,0.0010298,0.0010298
51,4476.12,0.55212,0.3026,0.97949,0.98722,0.98499,0.99421,0.90555,0.51417,0.24027,0.95476,0.00101,0.00101,0.00101
52,4564.03,0.54306,0.29642,0.97507,0.98457,0.98938,0.99369,0.90473,0.51564,0.23147,0.94927,0.0009902,0.0009902,0.0009902
53,4650.98,0.53246,0.28974,0.96795,0.98703,0.98725,0.9942,0.90553,0.51807,0.23633,0.95275,0.0009704,0.0009704,0.0009704
54,4737.18,0.52844,0.29407,0.96714,0.98522,0.9911,0.99437,0.90817,0.511,0.23682,0.95122,0.0009506,0.0009506,0.0009506
55,4823.82,0.5316,0.29117,0.9636,0.98938,0.98922,0.99423,0.9111,0.49896,0.23001,0.94444,0.0009308,0.0009308,0.0009308
56,4911.72,0.52059,0.2886,0.96406,0.99008,0.98925,0.99417,0.90969,0.49366,0.22767,0.95006,0.000911,0.000911,0.000911
57,4998.99,0.5221,0.28452,0.96459,0.98782,0.98938,0.994,0.91171,0.49178,0.22862,0.94354,0.0008912,0.0008912,0.0008912
58,5084.99,0.50816,0.27896,0.95719,0.9877,0.98867,0.99416,0.91585,0.49096,0.22136,0.94691,0.0008714,0.0008714,0.0008714
59,5171.86,0.51826,0.28094,0.9613,0.99074,0.9855,0.99406,0.91254,0.49195,0.22735,0.94533,0.0008516,0.0008516,0.0008516
60,5259.32,0.505,0.27478,0.95137,0.98436,0.99008,0.99419,0.91338,0.49662,0.22554,0.94813,0.0008318,0.0008318,0.0008318
61,5346.72,0.50137,0.2717,0.94945,0.99131,0.98938,0.99367,0.91302,0.49432,0.21329,0.94142,0.000812,0.000812,0.000812
62,5432.86,0.49818,0.26972,0.94946,0.98867,0.98907,0.99405,0.91837,0.48218,0.21894,0.94487,0.0007922,0.0007922,0.0007922
