epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1302.28,0.57129,0.31968,0.93295,0.98042,0.99008,0.99267,0.89174,0.53694,0.26315,0.894,0.0011882,0.0011882,0.0011882
43,1333.51,0.56566,0.31662,0.92667,0.98652,0.99008,0.99406,0.89838,0.53278,0.25946,0.89906,0.0011684,0.0011684,0.0011684
44,1364.96,0.56619,0.31504,0.93489,0.98769,0.98159,0.99409,0.90134,0.54064,0.26757,0.90604,0.0011486,0.0011486,0.0011486
45,1397.24,0.56722,0.31278,0.93174,0.98791,0.98796,0.99446,0.89759,0.5433,0.25764,0.90586,0.0011288,0.0011288,0.0011288
46,1428.58,0.56009,0.31319,0.92914,0.98653,0.98559,0.99332,0.89752,0.54304,0.26281,0.90369,0.001109,0.001109,0.001109
47,1460.45,0.55912,0.30986,0.92719,0.98108,0.99146,0.9941,0.89091,0.54041,0.26096,0.91224,0.0010892,0.0010892,0.0010892
48,1492.08,0.54453,0.30595,0.9237,0.98384,0.99141,0.99426,0.87876,0.59351,0.27151,0.9191,0.0010694,0.0010694,0.0010694
49,1524.25,0.54574,0.30283,0.9219,0.98588,0.98906,0.99364,0.90333,0.51924,0.24892,0.89203,0.0010496,0.0010496,0.0010496
50,1555.95,0.54252,0.30529,0.9251,0.98405,0.99079,0.99421,0.90014,0.52131,0.25446,0.90752,0.0010298,0.0010298,0.0010298
51,1587.1,0.54348,0.2998,0.92154,0.98454,0.99214,0.99435,0.90072,0.51452,0.25272,0.90018,0.00101,0.00101,0.00101
52,1618.69,0.53115,0.2979,0.91904,0.98446,0.98796,0.99402,0.91014,0.50859,0.25017,0.90122,0.0009902,0.0009902,0.0009902
53,1649.91,0.53173,0.29605,0.91422,0.9815,0.98938,0.99392,0.91282,0.4953,0.23855,0.89329,0.0009704,0.0009704,0.0009704
54,1681.47,0.53299,0.2942,0.91704,0.98676,0.98442,0.99351,0.90959,0.50145,0.24027,0.88929,0.0009506,0.0009506,0.0009506
55,1712.74,0.52497,0.28739,0.9121,0.98106,0.98938,0.99415,0.91101,0.50572,0.24265,0.88428,0.0009308,0.0009308,0.0009308
