Video,Hybrid Reps,Hybrid FPS,Object Reps,Object FPS,Graph
front_9rep.mp4,8,34.6,0,0.0,experiment_results\experiment_20251219_030016\graph_front_9rep.png
right_9rep.mp4,7,40.3,0,0.0,experiment_results\experiment_20251219_030016\graph_right_9rep.png
noplate_left_10rep.mp4,0,37.1,0,0.0,experiment_results\experiment_20251219_030016\graph_noplate_left_10rep.png
front_10rep_mirror.mp4,10,38.5,0,0.0,experiment_results\experiment_20251219_030016\graph_front_10rep_mirror.png
front_5rep.mp4,0,39.6,0,0.0,experiment_results\experiment_20251219_030016\graph_front_5rep.png
right_5rep.mp4,6,37.0,0,0.0,experiment_results\experiment_20251219_030016\graph_right_5rep.png
