Video,Label,Method,Reps
front_9rep.mp4,正面 (Front) 【横撮り】,Proposed (Hybrid),10
right_9rep.mp4,右側面 (Right) 【横撮り】,Proposed (Hybrid),9
noplate_left_10rep.mp4,左側面 (Left),Proposed (Hybrid),0
front_10rep_mirror.mp4,正面 (縦撮り),Proposed (Hybrid),5
front_5rep.mp4,正面 (縦撮り),Proposed (Hybrid),0
right_5rep.mp4,右側面 (Right) 【縦撮り】,Proposed (Hybrid),2
