Rep,Manual Vel,System Vel,Diff Vel,Diff %,Manual Frames,System Frames,Diff Frames
1,0.18,0.186,0.006,3.5,27,28,1
2,0.19,0.221,0.031,16.4,21,23,2
3,0.217,0.223,0.006,2.7,21,24,3
4,0.203,0.227,0.024,11.7,22,22,0
5,0.19,0.196,0.006,3.0,22,26,4
