Rep,Manual Vel,System Vel,Diff Vel,Diff %,Manual Frames,System Frames,Diff Frames
1,0.24,0.214,0.026,10.8,26,28,2
2,0.28,0.266,0.014,5.1,22,24,2
3,0.28,0.261,0.019,6.7,22,26,4
4,0.28,0.258,0.022,7.8,22,24,2
5,0.28,0.253,0.027,9.7,22,24,2
6,0.26,0.229,0.031,12.0,24,28,4
7,0.26,0.219,0.041,15.9,24,28,4
8,0.25,0.212,0.038,15.4,25,27,2
9,0.26,0.183,0.077,29.8,24,30,6
10,0.14,0.145,0.005,3.5,45,52,7
