Rep,Manual Vel,System Vel,Diff Vel,Diff %,Manual Frames,System Frames,Diff Frames
1,0.242,0.203,0.039,16.0,26,30,4
2,0.21,0.189,0.021,10.2,30,34,4
3,0.225,0.184,0.041,18.1,28,30,2
4,0.225,0.206,0.019,8.3,28,32,4
5,0.185,0.19,0.005,2.7,34,37,3
6,0.185,0.178,0.007,3.7,34,38,4
7,0.146,0.141,0.005,3.6,43,47,4
8,0.131,0.129,0.002,1.7,48,51,3
9,0.105,0.101,0.004,3.7,60,36,-24
