Video,Reps,FPS,Graph
front_9rep.mp4,9,37.5,experiment_results/proposed_only\run_20251219_114754\test_front_9rep.png
right_9rep.mp4,7,37.8,experiment_results/proposed_only\run_20251219_114754\test_right_9rep.png
noplate_left_10rep.mp4,1,34.7,experiment_results/proposed_only\run_20251219_114754\test_noplate_left_10rep.png
front_10rep.mp4,10,35.8,experiment_results/proposed_only\run_20251219_114754\test_front_10rep.png
front_5rep.mp4,5,41.6,experiment_results/proposed_only\run_20251219_114754\test_front_5rep.png
right_5rep.mp4,3,37.2,experiment_results/proposed_only\run_20251219_114754\test_right_5rep.png
