Video,Reps,FPS,Graph
front_9rep.mp4,9,36.9,experiment_results/proposed_only\run_20251219_032631\test_front_9rep.png
right_9rep.mp4,7,38.0,experiment_results/proposed_only\run_20251219_032631\test_right_9rep.png
noplate_left_10rep.mp4,6,37.8,experiment_results/proposed_only\run_20251219_032631\test_noplate_left_10rep.png
front_10rep_mirror.mp4,0,39.4,experiment_results/proposed_only\run_20251219_032631\test_front_10rep_mirror.png
front_5rep.mp4,5,40.2,experiment_results/proposed_only\run_20251219_032631\test_front_5rep.png
right_5rep.mp4,3,39.3,experiment_results/proposed_only\run_20251219_032631\test_right_5rep.png
